Date, Map, Result, SR Before, SR After, Heroes, Group Size
"2017-07-03T01:29:36.000Z", Ilios, "", 2342, 2368, "tracer, s76", 1
"2017-07-04T19:18:20.000Z", Eichenwalde, LOSS, 2366, 2341, dva, 1
"2017-07-04T19:45:12.000Z", Volskaya Industries, WIN, 2341, 2365, winston, 1
"2017-07-05T02:09:54.000Z", Temple of Anubis, LOSS, 2343, 2320, "", 1
"2017-07-05T03:05:20.000Z", Oasis, "", 2343, 2321, "", 1
"2017-07-09T07:59:34.000Z", Lijiang Tower, LOSS, 2450, 2425, "junkrat, dva, s76", 1
"2017-07-09T08:30:09.000Z", "Watchpoint: Gibraltar", LOSS, 2425, 2402, "ana, junkrat, mercy", 1
"2017-07-09T09:31:41.000Z", Temple of Anubis, LOSS, 2402, 2382, "junkrat, dva", 1
"2017-07-09T09:50:14.000Z", Volskaya Industries, LOSS, 2382, 2360, "junkrat, pharah, zenyatta", 1
"2017-07-09T10:13:56.000Z", Route 66, LOSS, 2360, 2338, "mercy, lucio, dva", 1
"2017-07-09T10:37:20.000Z", Hollywood, DRAW, 2338, 2338, "s76, junkrat, dva", 1
"2017-07-09T10:54:45.000Z", Hanamura, WIN, 2338, 2359, "junkrat, mercy", 1
"2017-07-09T12:03:40.000Z", Lijiang Tower, WIN, 2359, 2382, "dva, junkrat", 1
"2017-07-09T12:25:13.000Z", Oasis, WIN, 2382, 2413, mercy, 1
"2017-07-09T12:43:45.000Z", Horizon Lunar Colony, WIN, 2413, 2434, "mercy, dva, reaper", 1
