Date, Map, Result, SR Before, SR After, Heroes, Group Size
"2017-07-05T18:45:57.000Z", "", "", 2390, 2371, "dva, pharah, junkrat", 1
"2017-07-05T20:41:43.000Z", "", "", "", 2305, mercy, 1
"2017-07-05T20:56:53.000Z", "", "", 2305, 2336, mercy, 1
"2017-07-06T07:08:04.000Z", "", "", 2336, 2314, "mei, mercy", 1
"2017-07-06T07:24:35.000Z", "", "", 2314, 2357, "pharah, dva", 1
"2017-07-06T07:59:39.000Z", "", "", 2357, 2336, "mei, pharah, junkrat", 1
"2017-07-06T08:21:25.000Z", "", "", 2336, 2363, dva, 1
"2017-07-07T05:04:19.000Z", "", "", 2363, 2363, "pharah, dva, junkrat", 1
"2017-07-07T05:46:24.000Z", "", "", 2363, 2339, "mercy, pharah, junkrat", 1
"2017-07-07T06:02:10.000Z", "", "", 2339, 2357, "lucio, junkrat", 1
"2017-07-07T06:30:40.000Z", "", "", 2357, 2332, "pharah, junkrat", 1
"2017-07-08T02:59:56.000Z", Oasis, WIN, 2332, 2354, "pharah, zenyatta, junkrat", 1
