Date, Map, Result, SR Before, SR After, Heroes, Group Size
"2017-06-21T13:31:37.000Z", Eichenwalde, WIN, 2601, "", tracer, 1
"2017-06-21T13:53:13.000Z", Oasis, LOSS, "", "", tracer, 1
"2017-06-21T14:16:48.000Z", Route 66, LOSS, "", "", tracer, 1
"2017-06-22T10:42:39.000Z", Volskaya Industries, LOSS, "", "", tracer, 1
"2017-06-22T11:00:44.000Z", Hanamura, LOSS, "", "", tracer, 1
"2017-06-22T11:20:49.000Z", Hollywood, LOSS, "", "", tracer, 1
"2017-06-22T11:33:24.000Z", Lijiang Tower, LOSS, "", "", "pharah, tracer, winston", 1
"2017-06-22T11:47:58.000Z", Dorado, LOSS, "", "", "junkrat, pharah, symmetra", 1
"2017-06-22T12:00:49.000Z", Nepal, LOSS, "", "", "tracer, reaper", 1
"2017-06-22T12:20:04.000Z", "King's Row", WIN, "", 1497, tracer, 1
"2017-06-22T12:44:36.000Z", Temple of Anubis, LOSS, 1497, 1453, "tracer, junkrat", 1
"2017-06-28T09:51:22.000Z", Temple of Anubis, WIN, 1453, 1550, "tracer, hanzo", 1
"2017-06-28T10:05:15.000Z", Eichenwalde, WIN, 1550, 1622, "tracer, pharah", 1
"2017-06-28T10:23:57.000Z", Horizon Lunar Colony, WIN, 1622, 1706, "s76, hanzo, tracer", 1
"2017-06-28T10:42:40.000Z", Numbani, WIN, 1706, 1773, "junkrat, tracer", 1
"2017-06-29T10:18:09.000Z", "Watchpoint: Gibraltar", LOSS, 1773, 1742, "pharah, torb, tracer", 1
"2017-06-29T10:30:26.000Z", Nepal, WIN, 1742, 1802, "tracer, widowmaker, junkrat", 1
"2017-06-29T10:59:08.000Z", Numbani, WIN, 1802, 1850, "junkrat, widowmaker, tracer", 1
"2017-06-29T11:19:36.000Z", Horizon Lunar Colony, LOSS, 1850, 1828, "s76, lucio, tracer", 1
"2017-06-29T11:33:21.000Z", Hollywood, WIN, 1828, 1877, "hanzo, s76, junkrat", 1
"2017-06-29T11:57:35.000Z", Hanamura, LOSS, 1877, 1854, "hanzo, mei, junkrat", 1
"2017-06-29T12:18:22.000Z", Temple of Anubis, WIN, 1854, 1890, "pharah, tracer, junkrat", 1
"2017-06-29T12:46:41.000Z", Ilios, WIN, 1890, 1927, "ana, lucio, junkrat", 1
"2017-06-29T13:19:19.000Z", Oasis, LOSS, 1927, 1909, "pharah, tracer, reaper", 1
"2017-07-10T09:05:03.000Z", Horizon Lunar Colony, WIN, 1909, 1936, "widowmaker, hanzo", 1
"2017-07-10T09:20:20.000Z", Temple of Anubis, LOSS, 1936, 1917, hanzo, 1
"2017-07-10T09:36:46.000Z", Numbani, LOSS, 1917, 1897, "tracer, pharah", 1
"2017-07-10T09:49:58.000Z", Nepal, LOSS, 1897, 1873, "hanzo, junkrat", 1
"2017-07-10T10:13:00.000Z", Eichenwalde, LOSS, 1873, 1852, "winston, hanzo, junkrat", 1
"2017-07-10T10:23:56.000Z", Hollywood, WIN, 1852, 1883, hanzo, 1
"2017-07-10T10:40:48.000Z", Ilios, WIN, 1883, 1904, "hanzo, widowmaker, junkrat", 1
"2017-07-10T13:40:31.000Z", Hanamura, LOSS, 1904, 1885, "tracer, widowmaker, hanzo", 1
"2017-07-10T14:04:02.000Z", Ilios, LOSS, 1885, 1863, "junkrat, hanzo", 1
"2017-07-10T14:24:03.000Z", "Watchpoint: Gibraltar", LOSS, 1863, 1844, "mei, hanzo, pharah", 1
"2017-07-10T14:35:31.000Z", Horizon Lunar Colony, LOSS, 1844, "", "dva, widowmaker, orisa", 1
"2017-07-11T13:00:33.000Z", Hanamura, WIN, 1821, 1850, "widowmaker, hanzo, junkrat", 3

